elbo,-kl,log_px,log_py
-2.07579,-2.37923,-0.811078,-1.02679
-1.03104,-1.1141,-0.36711,-0.552516
-1.65147,-1.86138,-0.61204,-0.853296
-1.72566,-1.78167,-0.624075,-0.923416
-1.52602,-1.5954,-0.540271,-0.826207
-2.08142,-1.94494,-0.817459,-1.06947
-1.72487,-2.04825,-0.651059,-0.868987
-0.613039,-0.673922,-0.246845,-0.298802
-0.85046,-1.12289,-0.316216,-0.421955
-1.1972,-1.45877,-0.442782,-0.608544
-1.47071,-1.65071,-0.578599,-0.727044
-1.578,-1.69871,-0.525882,-0.882242
-1.28187,-1.33857,-0.467748,-0.680265
-3.1292,-2.69008,-1.16615,-1.69404
-2.12212,-2.06621,-0.712455,-1.20304
-1.89281,-2.08064,-0.663842,-1.0209
-1.53765,-1.75499,-0.439552,-0.922597
-2.43787,-3.49985,-0.681934,-1.40595
-1.94947,-2.01149,-0.687736,-1.06059
-1.33133,-1.41877,-0.443516,-0.745933
-1.91604,-2.0014,-0.669209,-1.04669
-1.35637,-1.51943,-0.543624,-0.660807
-1.92632,-2.43879,-0.701287,-0.981156
-1.85253,-2.12588,-0.632271,-1.00767
-1.60016,-1.81942,-0.547582,-0.87064
-0.97813,-1.16584,-0.328776,-0.53277
-1.7375,-2.25329,-0.616,-0.896171
-1.44716,-1.22787,-0.526309,-0.798065
-1.40064,-1.42506,-0.525242,-0.732896
-2.06915,-2.28225,-0.776786,-1.06414
-1.41557,-1.43889,-0.494328,-0.77735
-2.04519,-1.94679,-0.687784,-1.16272
-2.10764,-2.21509,-0.756516,-1.12961
-1.35886,-1.3996,-0.480984,-0.737917
-1.72197,-2.01784,-0.662488,-0.857698
-1.75095,-1.9431,-0.691468,-0.865167
-1.35066,-1.35594,-0.450582,-0.764483
-1.37583,-1.53558,-0.536367,-0.68591
-1.79731,-2.10761,-0.652449,-0.934105
-1.79996,-2.8709,-0.597681,-0.915184
-1.20504,-1.09401,-0.410734,-0.684906
-1.56456,-1.7718,-0.539278,-0.848098
-1.91226,-1.87726,-0.672338,-1.0522
-1.8565,-2.19465,-0.636466,-1.00057
-2.39248,-2.47241,-0.850806,-1.29443
-1.29995,-1.25549,-0.516081,-0.658325
-1.80975,-2.0757,-0.615608,-0.986568
-0.994375,-0.927877,-0.357866,-0.543721
-1.19622,-1.14897,-0.379172,-0.702148
-1.24892,-1.20263,-0.483154,-0.645507
-1.7302,-1.81856,-0.713853,-0.834496
-1.11039,-1.3711,-0.348559,-0.624725
-1.607,-1.69974,-0.484047,-0.952976
-1.7305,-1.80232,-0.663287,-0.886979
-1.23264,-1.03707,-0.323814,-0.805118
-1.67568,-1.92881,-0.601812,-0.880987
-0.990516,-0.955597,-0.364613,-0.530342
-1.65008,-1.68204,-0.596942,-0.884934
-1.90908,-1.94339,-0.617912,-1.09683
-1.26462,-1.398,-0.456764,-0.668051
-1.7243,-1.84357,-0.598274,-0.941668
-0.996537,-1.19416,-0.31928,-0.557842
-1.60675,-1.46942,-0.587896,-0.871909
-1.26822,-1.32481,-0.426686,-0.709052
-1.90324,-2.30249,-0.71459,-0.958403
-1.26471,-1.17032,-0.417298,-0.730384
-2.26429,-3.15387,-0.740486,-1.20842
-2.28722,-2.67823,-0.745658,-1.27374
-1.57646,-1.84509,-0.570792,-0.821162
-1.53843,-1.66151,-0.580604,-0.791673
-1.32557,-1.56324,-0.472354,-0.696888
-1.68813,-1.87634,-0.593004,-0.907496
-0.98445,-0.921223,-0.396531,-0.495797
-1.39463,-1.5234,-0.468272,-0.774022
-1.68356,-1.97858,-0.624561,-0.861144
-1.07227,-1.35069,-0.378008,-0.559197
-1.23621,-1.64339,-0.409277,-0.66259
-1.54164,-1.69171,-0.486261,-0.886205
-1.46311,-1.71391,-0.558463,-0.733257
-1.40143,-1.66268,-0.462996,-0.772162
-1.97227,-2.2361,-0.68042,-1.06824
-1.06824,-1.1198,-0.376668,-0.57959
-1.95779,-2.17524,-0.7374,-1.00287
-1.54049,-1.68791,-0.495867,-0.875836
-1.44583,-1.12285,-0.518442,-0.815102
-1.62997,-1.51942,-0.501444,-0.976582
-1.71004,-1.82076,-0.618471,-0.909495
-0.765219,-0.842435,-0.27196,-0.409015
-1.87909,-1.92634,-0.61526,-1.07119
-0.746697,-0.726479,-0.259469,-0.414581
-1.37606,-1.44524,-0.513923,-0.717612
-1.51377,-1.50564,-0.521947,-0.841259
-1.60816,-1.44669,-0.53621,-0.927281
-1.784,-2.05271,-0.722997,-0.855737
-1.91571,-2.07984,-0.704219,-1.00351
-0.876013,-1.01996,-0.314836,-0.45918
-1.25584,-1.11546,-0.426241,-0.718056
-0.66544,-0.736123,-0.235278,-0.35655
-1.78113,-1.84619,-0.666103,-0.93041
-1.68069,-1.66921,-0.549072,-0.964695
-2.44525,-2.25953,-0.938429,-1.28087
-1.62401,-1.54506,-0.515741,-0.953759
-1.09097,-1.19828,-0.352015,-0.619122
-2.13028,-1.87168,-0.770687,-1.17243
-1.53337,-2.04015,-0.468617,-0.860741
-1.18766,-1.36615,-0.454164,-0.596884
-2.3526,-2.37638,-0.798975,-1.31598
-1.40306,-1.46608,-0.478337,-0.77812
-1.31851,-1.35042,-0.465515,-0.717954
-0.595516,-0.715182,-0.199141,-0.324856
-1.68361,-1.98432,-0.668823,-0.816359
-0.877,-0.819234,-0.347555,-0.447522
-1.74559,-2.09844,-0.697205,-0.83854
-1.40283,-1.66251,-0.514653,-0.721922
-1.39713,-1.58827,-0.440767,-0.797538
-1.10356,-1.42494,-0.39139,-0.569672
-1.35066,-1.54804,-0.472311,-0.723546
-1.73608,-1.80407,-0.582499,-0.973178
-1.12347,-1.33779,-0.3715,-0.61819
-0.973807,-0.963851,-0.311754,-0.565668
-1.17666,-1.43892,-0.426694,-0.606073
-1.04714,-1.30313,-0.355348,-0.561476
-0.931813,-0.91917,-0.275014,-0.564883
-2.05574,-1.8927,-0.759459,-1.10702
-1.71614,-1.82876,-0.604256,-0.929011
-2.00722,-2.08135,-0.575639,-1.22345
-1.21069,-1.17954,-0.395819,-0.69692
-1.62182,-1.79462,-0.550231,-0.892122
-1.64796,-1.52924,-0.524113,-0.970919
-1.98855,-2.05696,-0.692322,-1.09053
-1.30256,-1.23586,-0.434672,-0.744306
-0.917405,-0.861641,-0.303888,-0.527352
-0.560629,-0.677753,-0.159137,-0.333717
-1.10047,-1.15887,-0.36575,-0.618831
-0.965492,-1.02518,-0.319464,-0.543509
-1.42483,-1.37561,-0.476518,-0.810749
-0.584172,-0.600761,-0.228048,-0.296047
-1.9693,-2.19992,-0.706064,-1.04324
-1.53171,-1.67014,-0.551499,-0.813195
-1.39465,-1.10651,-0.496648,-0.787354
-0.890623,-0.952228,-0.293195,-0.502205
-1.06577,-1.1826,-0.381826,-0.56568
-1.45235,-1.42285,-0.479489,-0.83058
-1.67179,-1.71843,-0.622276,-0.877671
-1.60146,-1.64416,-0.571423,-0.865625
-1.44533,-1.61719,-0.506103,-0.777511
-1.54182,-1.77208,-0.518572,-0.846037
-2.27294,-2.95878,-0.635532,-1.34153
-1.12654,-1.21229,-0.376537,-0.628771
-1.79659,-1.81555,-0.577863,-1.03717
-1.18355,-1.38477,-0.442748,-0.602329
-1.04186,-0.906278,-0.39068,-0.560556
-1.28762,-1.24426,-0.494798,-0.668394
-1.35476,-1.35175,-0.42597,-0.793611
-1.4529,-1.60814,-0.517109,-0.774973
-1.43425,-1.51433,-0.460844,-0.821968
-1.96529,-2.10604,-0.602823,-1.15187
-1.57117,-2.08054,-0.665307,-0.697807
-1.95512,-2.40847,-0.718993,-0.99528
-0.938271,-1.16024,-0.330345,-0.491901
-1.47904,-1.51328,-0.535876,-0.791839
-1.9912,-2.67076,-0.489193,-1.23493
-1.48379,-1.58566,-0.517116,-0.808109
-1.38075,-1.43733,-0.385302,-0.851716
-1.01399,-1.23224,-0.29156,-0.599201
-1.50234,-1.23587,-0.556745,-0.822006
-1.61997,-1.77368,-0.597929,-0.844676
-1.69669,-2.0316,-0.620852,-0.872678
-1.78154,-2.03637,-0.594087,-0.98382
-1.03827,-1.24658,-0.304327,-0.609287
-1.28231,-1.51844,-0.499094,-0.631375
-1.31757,-1.73354,-0.503327,-0.640885
-0.611576,-0.734725,-0.20105,-0.337054
-1.60742,-1.88215,-0.494515,-0.924685
-5.02257,-4.3101,-2.27056,-2.321
-1.45738,-1.13591,-0.542622,-0.801164
-1.18618,-1.62869,-0.435138,-0.588168
-1.54628,-1.75441,-0.558679,-0.812159
-1.89342,-2.12694,-0.660794,-1.01993
-1.90253,-1.93131,-0.656653,-1.05275
