elbo,-kl,log_px,log_py
-1.72597,-2.78626,-0.53969,-0.907651
-2.17561,-1.93899,-0.825861,-1.15585
-1.48556,-1.43901,-0.582048,-0.759607
-1.9866,-1.7115,-0.686185,-1.12926
-1.7465,-1.52218,-0.665585,-0.928692
-2.051,-2.17965,-0.806334,-1.0267
-1.97817,-2.0839,-0.754551,-1.01523
-1.40527,-1.42991,-0.551408,-0.710866
-2.08574,-2.12287,-0.736913,-1.13654
-1.41134,-1.4439,-0.552945,-0.714
-2.00371,-2.0464,-0.664507,-1.13456
-1.93207,-2.05143,-0.802111,-0.924814
-1.83991,-2.06887,-0.698348,-0.934676
-1.37695,-1.47911,-0.538397,-0.69064
-2.00435,-3.11298,-0.746177,-0.946875
-1.38868,-1.54056,-0.505992,-0.728634
-1.50781,-1.3531,-0.52242,-0.850084
-1.36479,-1.39535,-0.512345,-0.712908
-1.16877,-1.23894,-0.454809,-0.590068
-1.45441,-1.60087,-0.542438,-0.751883
-1.09082,-1.05299,-0.400166,-0.58536
-1.27087,-1.49508,-0.455091,-0.666274
-1.7425,-1.81868,-0.610326,-0.950309
-1.5243,-1.6667,-0.530846,-0.826788
-1.68496,-1.45145,-0.539812,-1.0
-1.46753,-1.63541,-0.556727,-0.747265
-1.85294,-1.81012,-0.730698,-0.941232
-1.42905,-1.36575,-0.532155,-0.760316
-0.462608,-0.663674,-0.140327,-0.255914
-1.88946,-1.76313,-0.642871,-1.07027
-0.620989,-0.830567,-0.181582,-0.35635
-1.68325,-1.76062,-0.663416,-0.843773
-1.07677,-1.20219,-0.395744,-0.560802
-0.66282,-0.832691,-0.194183,-0.385368
-1.27116,-1.22293,-0.471257,-0.677609
-1.42094,-1.28058,-0.477513,-0.815366
-1.68554,-1.62466,-0.670756,-0.852317
-1.38321,-1.20673,-0.436945,-0.825597
-1.67431,-1.74185,-0.626247,-0.873882
-1.34867,-1.33786,-0.457368,-0.75752
-1.13165,-1.16475,-0.394906,-0.620265
-1.7182,-1.19118,-0.547489,-1.0516
